Job Number,Burst Time,Turnaround Time,Response Time,Wait Time
1, 0.007, 0.0077800750732421875, 0.00014090538024902344, 0.00014090538024902344
2, 0.012, 0.01346278190612793, 0.00015211105346679688, 0.00023126602172851562
3, 0.005, 0.006003379821777344, 0.00018072128295898438, 0.00018072128295898438
4, 0.005, 0.005736589431762695, 9.298324584960938e-05, 9.298324584960938e-05
5, 0.009, 0.009772539138793945, 7.200241088867188e-05, 7.200241088867188e-05
6, 0.007, 0.008588314056396484, 0.0008134841918945312, 0.0008134841918945312
7, 0.009, 0.010644197463989258, 0.0007002353668212891, 0.0007002353668212891
8, 0.009, 0.00977182388305664, 0.0002434253692626953, 0.0002434253692626953
9, 0.005, 0.0076372623443603516, 0.00035953521728515625, 0.00035953521728515625
10, 0.009, 0.009820699691772461, 8.177757263183594e-05, 8.177757263183594e-05
11, 0.007, 0.008966684341430664, 0.00010848045349121094, 0.00010848045349121094
12, 0.015, 0.021218538284301758, 0.0006635189056396484, 0.0007386207580566406
13, 0.008, 0.01385498046875, 0.0020008087158203125, 0.0020008087158203125
14, 0.011, 0.014176607131958008, 0.0002582073211669922, 0.0003418922424316406
15, 0.01, 0.012356758117675781, 0.0001354217529296875, 0.0001354217529296875
16, 0.004, 0.0056726932525634766, 0.00036787986755371094, 0.00036787986755371094
17, 0.009, 0.009976863861083984, 0.0001552104949951172, 0.0001552104949951172
18, 0.011, 0.014185428619384766, 0.0001461505889892578, 0.00022220611572265625
19, 0.01, 0.015101194381713867, 0.0007312297821044922, 0.0007312297821044922
20, 0.01, 0.013277769088745117, 0.0020818710327148438, 0.0020818710327148438
21, 0.01, 0.015516281127929688, 0.0037856101989746094, 0.0037856101989746094
23, 0.005, 0.048709869384765625, 0.016321182250976562, 0.016321182250976562
22, 0.012, 0.06330156326293945, 0.007877826690673828, 0.04118609428405762
24, 0.006, 0.04300045967102051, 0.036112070083618164, 0.036112070083618164
25, 0.009, 0.02397012710571289, 0.013950824737548828, 0.013950824737548828
26, 0.004, 0.018874406814575195, 0.012384176254272461, 0.012384176254272461
27, 0.005, 0.007104396820068359, 0.0006747245788574219, 0.0006747245788574219
28, 0.008, 0.009145736694335938, 0.00017547607421875, 0.00017547607421875
29, 0.013, 0.01502680778503418, 0.00010156631469726562, 0.00019121170043945312
30, 0.008, 0.010914087295532227, 0.0012462139129638672, 0.0012462139129638672
31, 0.015, 0.01785135269165039, 0.0009570121765136719, 0.0010480880737304688
32, 0.014, 0.021004438400268555, 0.005881547927856445, 0.005909442901611328
33, 0.004, 0.009370803833007812, 0.0043408870697021484, 0.0043408870697021484
34, 0.009, 0.011669635772705078, 0.00046515464782714844, 0.00046515464782714844
35, 0.009, 0.01702141761779785, 0.005908489227294922, 0.005908489227294922
36, 0.007, 0.015114784240722656, 0.006662845611572266, 0.006662845611572266
37, 0.01, 0.01571822166442871, 0.0048253536224365234, 0.0048253536224365234
39, 0.01, 0.019140243530273438, 0.005924224853515625, 0.005924224853515625
38, 0.013, 0.029423236846923828, 0.00075531005859375, 0.014480113983154297
41, 0.007, 0.024481534957885742, 0.015136480331420898, 0.015136480331420898
40, 0.011, 0.03511476516723633, 0.011708259582519531, 0.021992921829223633
43, 0.004, 0.004846811294555664, 0.00038743019104003906, 0.00038743019104003906
42, 0.013, 0.026515483856201172, 0.0063593387603759766, 0.01167607307434082
44, 0.015, 0.01666259765625, 8.082389831542969e-05, 0.00014901161193847656
45, 0.014, 0.028427839279174805, 0.00032806396484375, 0.01113271713256836
47, 0.009, 0.022937297821044922, 0.013193845748901367, 0.013193845748901367
