Job Number,Burst Time,Turnaround Time,Response Time,Wait Time
1, 0.009, 0.010284900665283203, 0.00015616416931152344, 0.00015616416931152344
2, 0.013, 0.020175457000732422, 0.00586700439453125, 0.00586700439453125
3, 0.009, 0.02689647674560547, 0.01493215560913086, 0.01493215560913086
4, 0.006, 0.024228334426879883, 0.01653289794921875, 0.01653289794921875
5, 0.006, 0.014221906661987305, 0.007142066955566406, 0.007142066955566406
6, 0.005, 0.01646733283996582, 0.008930444717407227, 0.008930444717407227
7, 0.005, 0.01495361328125, 0.008721113204956055, 0.008721113204956055
8, 0.007, 0.008741378784179688, 0.00037789344787597656, 0.00037789344787597656
9, 0.007, 0.011977195739746094, 0.0036377906799316406, 0.0036377906799316406
10, 0.004, 0.010273218154907227, 0.004723310470581055, 0.004723310470581055
11, 0.011, 0.012712240219116211, 0.00027632713317871094, 0.00027632713317871094
12, 0.006, 0.0076372623443603516, 0.0005207061767578125, 0.0005207061767578125
13, 0.004, 0.0055577754974365234, 0.0001819133758544922, 0.0001819133758544922
14, 0.005, 0.006081819534301758, 5.435943603515625e-05, 5.435943603515625e-05
15, 0.006, 0.0068051815032958984, 0.00011324882507324219, 0.00011324882507324219
16, 0.006, 0.006859302520751953, 0.00015354156494140625, 0.00015354156494140625
17, 0.015, 0.015753984451293945, 0.00016379356384277344, 0.00016379356384277344
18, 0.013, 0.01406550407409668, 0.00019431114196777344, 0.00019431114196777344
19, 0.011, 0.023079395294189453, 0.010576248168945312, 0.010576248168945312
20, 0.012, 0.026636600494384766, 0.012799501419067383, 0.012799501419067383
21, 0.012, 0.03783226013183594, 0.02480769157409668, 0.02480769157409668
22, 0.014, 0.03563666343688965, 0.02065134048461914, 0.02065134048461914
23, 0.013, 0.04581332206726074, 0.03144979476928711, 0.03144979476928711
24, 0.008, 0.04256796836853027, 0.033654212951660156, 0.033654212951660156
25, 0.013, 0.04723644256591797, 0.03342270851135254, 0.03342270851135254
26, 0.005, 0.04277396202087402, 0.03711819648742676, 0.03711819648742676
27, 0.015, 0.05733895301818848, 0.03954911231994629, 0.03954911231994629
28, 0.015, 0.05862832069396973, 0.04299736022949219, 0.04299736022949219
29, 0.014, 0.06212663650512695, 0.04745602607727051, 0.04745602607727051
30, 0.004, 0.05132579803466797, 0.0467679500579834, 0.0467679500579834
31, 0.015, 0.049025774002075195, 0.03325319290161133, 0.03325319290161133
32, 0.011, 0.04661369323730469, 0.03466200828552246, 0.03466200828552246
33, 0.012, 0.05133938789367676, 0.03738045692443848, 0.03738045692443848
34, 0.005, 0.04054903984069824, 0.03445291519165039, 0.03445291519165039
35, 0.012, 0.0392000675201416, 0.026676416397094727, 0.026676416397094727
36, 0.007, 0.04047513008117676, 0.03264451026916504, 0.03264451026916504
37, 0.007, 0.03995156288146973, 0.031105995178222656, 0.031105995178222656
38, 0.014, 0.03698873519897461, 0.022487163543701172, 0.022487163543701172
39, 0.005, 0.03623557090759277, 0.030289649963378906, 0.030289649963378906
40, 0.008, 0.03928828239440918, 0.02886343002319336, 0.02886343002319336
41, 0.014, 0.04902172088623047, 0.03401684761047363, 0.03401684761047363
42, 0.007, 0.03754019737243652, 0.02975153923034668, 0.02975153923034668
